64.63,50.89,33.41,27.77,63.43
63.73,47.88,34.61,29.51,62.90
62.56,47.12,36.64,26.50,61.93
61.54,47.04,37.09,24.24,60.75
61.61,50.40,35.70,24.03,60.12
60.99,49.29,34.46,24.78,59.78
60.26,45.49,36.04,24.13,59.38
60.51,47.81,35.43,25.02,59.24
60.26,45.48,34.19,23.81,59.61
61.97,43.17,34.92,24.21,61.59
60.97,44.24,33.56,25.60,60.62
61.56,48.41,34.00,24.44,60.60
60.48,45.62,34.50,26.20,59.33
60.23,45.20,34.19,25.48,59.20
60.65,47.72,34.95,24.98,59.63
61.60,47.30,35.26,24.54,60.52
61.46,42.75,36.96,28.16,60.44
60.93,43.29,37.05,29.52,59.97
61.59,43.44,37.84,30.74,60.96
60.08,42.47,37.93,32.75,59.10
57.73,43.65,39.20,32.18,56.11
59.08,45.07,39.12,32.48,56.67
57.89,43.48,38.76,33.21,56.67
58.09,39.05,36.77,27.35,57.16
55.92,30.45,32.50,27.77,55.45
63.83,24.85,36.50,29.07,63.46
68.05,22.21,32.24,32.11,68.02
72.25,19.85,31.06,29.74,72.19
75.25,21.21,29.05,23.13,75.28
74.43,21.86,32.47,25.13,74.47
75.78,24.82,31.68,24.53,75.78
76.89,24.79,31.56,20.68,76.89
76.09,22.83,31.50,15.87,76.13
77.63,24.12,30.90,16.77,77.59
77.75,22.14,30.96,17.75,77.75
78.10,22.13,31.78,20.65,78.10
79.38,21.05,32.58,23.78,79.37
77.98,21.30,32.44,26.53,77.97
79.52,20.16,33.68,21.85,79.54
78.83,21.15,33.32,28.69,78.82
78.87,24.56,36.53,30.40,78.85
78.59,23.92,37.37,31.35,78.58
78.81,21.13,33.69,26.99,78.75
78.08,19.90,32.85,25.90,78.07
79.37,21.51,33.59,16.12,79.35
79.28,21.45,36.41,26.01,79.22
79.38,22.45,40.39,27.62,79.41
77.37,24.54,41.05,21.89,77.40
78.79,26.01,38.84,23.85,78.75
79.79,26.55,35.54,23.62,79.76
78.00,25.49,34.19,15.34,77.98
78.29,22.27,31.40,19.06,78.25
78.02,21.25,30.25,16.77,78.00
78.05,22.63,34.29,21.25,78.01
78.78,21.76,32.85,24.06,78.81
